"","prod_title","review_title","user","rating","text","helpful","unhelpful"
"11","HP - ProBook 15.6"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black","Unhappy customer","Parker",1,"I am dissatisfied with my purchase. My laptop is less than 5 months old and I've had to return it 3 times since then.",1,1
"12","HP - ProBook 15.6"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black","Purchased for a senior citizen","bifbonkers",4,"I got this for a friend who is over 70 years old. It works very well and is comfortable to use.",1,0
"13","Acer - TravelMate 11.6"" Laptop - Intel Celeron - 4GB Memory - 128GB Solid State Drive - Black","Exactly what I was looking for","migarto",5,"I bought this small laptop because it fits the TSA size restrictions and also because I really wanted something portable and I didn't need anything with a lot of bells and whistles. I also wasn't really interested in a laptop with touch screen features. This is a small, basic laptop that works great. Before I bought it I was a little concerned with some of the other reviews which mentioned slow operating speed and/or problems with the battery but I haven't had any issues. My large laptop has an i7 processor so naturally this is slower but I don't think it's all that slow and it works for the basic functions I wanted, namely internet and word processing. As for the battery, I followed the instructions that said to fully charge and discharge three times and I haven't had any problems. I also like the flat black finish.",0,0
"14","Acer - TravelMate 11.6"" Laptop - Intel Celeron - 4GB Memory - 128GB Solid State Drive - Black","My Backup Computer","rdab",5,"Best Buy Associate worked with me to find a good second computer in Best Buy's extended inventory. This Acer TravelMate has an older processor (Celeron Quad Core N3160) but makes up for that with a solid state drive. Small and light, but broad capabilities.",12,1
"15","Acer - TravelMate 11.6"" Laptop - Intel Celeron - 4GB Memory - 128GB Solid State Drive - Black","Would recommend","Myra",4,"Purchased this laptop for nursing school. To utilize the simple programs like Microsoft word, chrome, and internet explorer. Works great, just a little slow at times.",0,0
"16","Acer - TravelMate 11.6"" Laptop - Intel Celeron - 4GB Memory - 128GB Solid State Drive - Black","Works great","ronn",5,"Boots fast, screen is sharp enough & battery lasts ~8 hrs for me before needing a charge - for the price I'm very happy",3,0
"17","Acer - TravelMate 11.6"" Laptop - Intel Celeron - 4GB Memory - 128GB Solid State Drive - Black","Ok for the price","Chuck",3,"I was looking for a compact travel laptop to cam and stream video. For the most part this laptop does the job but occasionally lags on video.",0,0
"18","Acer - TravelMate 11.6"" Laptop - Intel Celeron - 4GB Memory - 128GB Solid State Drive - Black","great laptop","mrfordfixer",5,"easy to use, size is great, color is pleasant, and does all I need it to do",2,0
"19","Lenovo - 2-in-1 15.6"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Onyx black","Better option","cubs14",5,"Returned a different version because the ""shift key"" and the ""Pg Up"" key were reversed in placement. Couldn't avoid pg up. This one is normal and much better",1,0
"20","Lenovo - ThinkPad 17.3"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA Quadro M600M - 500GB Hard Drive - Black","Best laptop for any age.","RAP77",5,"I am a senior and this is a awesome laptop for all of my needs and much more. I am very happy to have my new laptop.",2,0
"21","Lenovo - ThinkPad 17.3"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA Quadro M600M - 500GB Hard Drive - Black","GREAT LAP TOP FOR BUSINESS","RICKLENOVO",5,"I AM RUNNING CAD SOFTWARE AND THE CAD SPEED IS GREAT.",0,0
"22","HP - 15.6"" Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Dark Ash Silver, Woven Texture","Great deal","Jerry65",5,"Great laptop and great price. I did remove programs that weren't necessary. Also ran Ccleaner to see if any other programs should be removed. Very satisfied so far.",0,0
"23","HP - 15.6"" Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Dark Ash Silver, Woven Texture","Good computer","Mighymunchkinsmom",4,"Like it but keyboard very sensitive - wish it would have come with 1 program and that I didn't have to buy all of them - next time I will pay closer attention to what comes on my next laptop",0,0
"24","HP - EliteBook 14"" Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Silver","Impressive receiver","SuperNetworker",3,"The new Marantz receiver is better than my old Pioneer. It provides better separation between individual music elements. My only complaint is that the remote gives me less control over listening modes. There are basically only three or four instead of half-a-dozen or more. I haven't read the manual yet, however. Maybe I'm overlooking something.",0,6
"25","HP - 15.6"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Dark Ash Silver, Woven Texture","Lightweight Powerhouse","WVElectEngr",5,"Staying with the trusted IT guy’s “spend at least $600 and buy a solid state drive” recommendation, this laptop did not let me down. Two months into ownership, I’ve performed video editing and basic user level tasks, never once seeing this machine flinch. It does not appear to have user serviceable RAM from every note I’ve read, and unlike these easy-access underbody panels my old ProBook had, this unit is screwed together tight as a drum. In comparison to my 4540 ProBook, it is a bit flimsier. My son habitually sets various toys, foods, or beverages on it and I worry about the screen’s integrity of he gets excited and starts slapping it, toy in hand. It has held up well so far. The screen casing is a plastic textured matte finish, as opposed to my previous plastic polished and brushed finish. As such, it has incurred several scratches already while the ProBook shows little damage. 
Performance wise, it boots from sleep to PIN screen to ready in under ten seconds. Every time. The multitasking is unparalleled. I was reluctant to purchase the smaller 256GB SSD when I was replacing a 500 GB 5400 SATA but keeping all my storage on my NAS makes up for that, especially with everything running gigabit connections. My purchase criteria included Win 10, gigabit Ethernet, high-capacity SSD, 15” screen, long battery life, non-touch screen, no-hesitation processing speed, a Core i5 7th Gen processor, and full keyboard with numpad. This unit met all those criteria, and the 12 months no interest plan made it very affordable. The only sour feelings I had about this purchase were based on the lack of BestBuyRewards points I failed to earn. The associate failed to mention that by financing the unit, I was ineligible for rewards points. And while this stipulation was likely written in fine print somewhere, I failed to read it so that’s on me.
Back to the laptop, it is, in summary, a lightweight powerhouse. For low resources task, it practically anticipates your requests because the applications open so fast. Compared to my work HP ZBOOK which leaves deep crease lines in your lap after a half hour of use, this 250 model weighs nearly nothing, and seems to perform (for my needs) identically.",6,0
"26","HP - 15.6"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Dark Ash Silver, Woven Texture","Good computer for most people","luckyme",4,"For the price this was a bargain. I searched and compared dozens of computers and I think this met all my requirements. The next one that met the requirements was several hundred dollars more.",0,0
"27","HP - 15.6"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Dark Ash Silver, Woven Texture","High Quality and Easy to Use","Larryrx",5,"My new laptop is great. It just flies through all the functions that I use it for.",0,0
"28","HP - 15.6"" Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Dark Ash Silver, Woven Texture","Delivers","zette78",4,"Light weight, great keyboard. Windows 10 in itself is a challenge due to the constant updates which force some programs to no longer work or completely get deleted from your laptop. Again, this is more of a Windows 10 in general issue. Lap top works great, clean, light.",0,0
"29","ASUS - ZenBook 3 Deluxe UX490UA 14"" Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Royal blue","Beautiful Laptop","CouponMaster",5,"This laptop is so beautiful, yet very powerful also.",0,0
"30","Acer - Aspire 5 17.3"" Laptop - Intel Core i5 - 8GB Memory - 1TB Hard Drive - Obsidian Black","Great features. Good balance of price & performanc","David",5,"This laptop fit my changing needs. I no longer need to have the latest and fastest as I no longer do video editing or Photoshop beyond Elements. So for small business home office work like spreadsheets, internet use and leisure time electronic puzzles and games the large screen was very useful. Also nice is still having a DVD burner, SD car slot, USB 3.0 in two forms and a 2.0, headphone/mic jack. The screen feature: ""night light"" which changes color temperature to help with insomnia was a nice bonus.
I'm also using this machine as a transition to Windows 10 after avoiding it like the plague for two years (I tried it when free and changed back to my trusty W7Pro). It was just too ""frilly"" and non-business-like. For this machine I found a free program called ""Classic Shell"" that works way too well to have been free - not complaining, mind you. It turns the start menu back into one you exactly recognize from Windows 7, including sub-menus, so you can actually find stuff again and make settings easily. And it has a button at the top of the classic W7 menu that with one press instantly reverts to the W10 start menu like you never changed anything. then back again with another click. Best of both worlds at the press of a button.
The 5400 RPM HD I knew would be too slow for me with an i5 gen 8 processor, so I ordered a $109 Samsung 860 EVO 500 Gig SSD on Best Buy at the same time and cloned the OEM HD with a bootable disk of Acronis (I already had for backups and cloning). The boot time went to 20 seconds and resume time to 4 to the log-in screen. If you're going to do that swap, do it first thing: Put the new SSD into the laptop first before ever starting it up (a very easy swap-out inside the access door on the bottom), stick the DVD with Acronis or similar in the optical drive and start the computer. Wait (pretty long) for the prom to boot and figure out there is no operating system (no need to check boot order with UEFI. It figures it out.) and goes looking in the optical drive. After Acronis boots (took about 2 whole minutes for me) and appears on the screen plug in your original drive via USB and a SATA to USB adapter (cheap- also on Best Buy. Don't plug it in before booting like Acronis tells you to do or it won't work. I found out the hard way). Order the SATA/USB cable adapter at the same time too if you don't have one. I already use one for my network storage on a 1T SSD (plugged into my AC cable modem/router so I have all my files from several computers in one place). Acronis will take care of partition resizing to go from the 1 T spinning drive to the 500G SSD (if you, like I, didn't need 1T of storage or needless expense). Last, after doing all the Windows updates on the new SSD you can load your old files from the back-up of your old laptop you made with Windows Back-UP. W10 has that nice feature in ""Back-Up and Restore (W7)"" and will find the back-up on disk, DVD, network storage, cloud storage, etc. if you tell it where to look. My back-ups are on an external SSD so it went very fast via the USB 3.0 plug using that same SATA/USB cable adapter.
The end result is a very fast, big screen, feature rich laptop with sufficient memory at 8G (expandable to 16) at a real bargain price! I'm probably going to get another one for my wife.",0,0
"31","Acer - Aspire 5 17.3"" Laptop - Intel Core i5 - 8GB Memory - 1TB Hard Drive - Obsidian Black","Impressed so far.","fred",5,"Best thing - this one doesn't get hot or even warm! I asked for and got a factory restore flash drive. Its pretty fast. nothing to complain about. If you need a good computer and good customer service, this one is a good choice.",0,0
"32","Acer - Aspire 5 17.3"" Laptop - Intel Core i5 - 8GB Memory - 1TB Hard Drive - Obsidian Black","Love my Acer Laptop","Beelady",5,"Wouldn't buy any other laptop....love my Acer!!
My last computer was an Acer...great machine!!",0,0
"33","Dell - Latitude 14"" Laptop - Intel Core i5 - 8GB Memory - 500GB Hard Drive - Black","Dell laptop performs","Buybest",4,"Good laptop. Hard to put extra memory by yourself. Have to remove entire back cover.",0,0
"34","Dell - Latitude 14"" Laptop - Intel Core i5 - 8GB Memory - 500GB Hard Drive - Black","Very Slow","Purchase2109",1,"Not a fan of this computer. Very Very VERY VERY slow",0,0
"35","Dell - Latitude 14"" Laptop - Intel Core i5 - 8GB Memory - 500GB Hard Drive - Black","Great for work and play","Jjammy",5,"Beautiful laptop great design and functionality! No issues whatsoever",0,0
"36","HP - ProBook 14"" Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black","Good work laptop","Meee",4,"Very happy with quality and speed and battery life,I don't care much for some of the HP bloat but can remove most of it.",5,0
"37","HP - ProBook 14"" Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black","Nice laptop","joepsycho4",5,"Nice midrange business laptop. Other than the battery recall, these are nice laptops.",0,0
"38","HP - ProBook 14"" Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black","Nice laptop","joepsycho4",5,"This is a really great laptop for casual business use.",0,0
"39","Dell - Latitude 14"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black","Good value","ginaVT",4,"I prefer an i7 processor however this option of an i5 was budget friendly. Great for business use.",1,0
"40","Acer - R 13 2-in-1 13.3"" Touch-Screen Chromebook - MT8173 - 4GB Memory - 64GB eMMC Flash Memory - Sparkly Silver","Nice Chromebook","Tristanmedic",5,"This does what it says. Was able to browse the internet quickly. Loaded some android apps as well that run great. Saving items is difficult as this doesn't work like a laptop and there really isn't any internal memory. Once I attached my google drive and set it up though it was easy from there. Just took some getting used to.",0,0
