review_title,rating,helpful,text,prod_title,unhelpful,user
Unhappy customer,1,1,I am dissatisfied with my purchase. My laptop is less than 5 months old and I've had to return it 3 times since then.,"HP - ProBook 15.6"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black",1,Parker
Purchased for a senior citizen,4,1,I got this for a friend who is over 70 years old. It works very well and is comfortable to use.,"HP - ProBook 15.6"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black",0,bifbonkers
Exactly what I was looking for,5,0,"I bought this small laptop because it fits the TSA size restrictions and also because I really wanted something portable and I didn't need anything with a lot of bells and whistles. I also wasn't really interested in a laptop with touch screen features. This is a small, basic laptop that works great. Before I bought it I was a little concerned with some of the other reviews which mentioned slow operating speed and/or problems with the battery but I haven't had any issues. My large laptop has an i7 processor so naturally this is slower but I don't think it's all that slow and it works for the basic functions I wanted, namely internet and word processing. As for the battery, I followed the instructions that said to fully charge and discharge three times and I haven't had any problems. I also like the flat black finish.","Acer - TravelMate 11.6"" Laptop - Intel Celeron - 4GB Memory - 128GB Solid State Drive - Black",0,migarto
My Backup Computer,5,12,"Best Buy Associate worked with me to find a good second computer in Best Buy's extended inventory. This Acer TravelMate has an older processor (Celeron Quad Core N3160) but makes up for that with a solid state drive. Small and light, but broad capabilities.","Acer - TravelMate 11.6"" Laptop - Intel Celeron - 4GB Memory - 128GB Solid State Drive - Black",1,rdab
Would recommend,4,0,"Purchased this laptop for nursing school. To utilize the simple programs like Microsoft word, chrome, and internet explorer. Works great, just a little slow at times.","Acer - TravelMate 11.6"" Laptop - Intel Celeron - 4GB Memory - 128GB Solid State Drive - Black",0,Myra
Works great,5,3,"Boots fast, screen is sharp enough & battery lasts ~8 hrs for me before needing a charge - for the price I'm very happy","Acer - TravelMate 11.6"" Laptop - Intel Celeron - 4GB Memory - 128GB Solid State Drive - Black",0,ronn
Ok for the price,3,0,I was looking for a compact travel laptop to cam and stream video. For the most part this laptop does the job but occasionally lags on video.,"Acer - TravelMate 11.6"" Laptop - Intel Celeron - 4GB Memory - 128GB Solid State Drive - Black",0,Chuck
great laptop,5,2,"easy to use, size is great, color is pleasant, and does all I need it to do","Acer - TravelMate 11.6"" Laptop - Intel Celeron - 4GB Memory - 128GB Solid State Drive - Black",0,mrfordfixer
Better option,5,1,"Returned a different version because the ""shift key"" and the ""Pg Up"" key were reversed in placement. Couldn't avoid pg up. This one is normal and much better","Lenovo - 2-in-1 15.6"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Onyx black",0,cubs14
Best laptop for any age.,5,2,I am a senior and this is a awesome laptop for all of my needs and much more. I am very happy to have my new laptop.,"Lenovo - ThinkPad 17.3"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA Quadro M600M - 500GB Hard Drive - Black",0,RAP77
GREAT LAP TOP FOR BUSINESS,5,0,I AM RUNNING CAD SOFTWARE AND THE CAD SPEED IS GREAT.,"Lenovo - ThinkPad 17.3"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA Quadro M600M - 500GB Hard Drive - Black",0,RICKLENOVO
Great deal,5,0,Great laptop and great price. I did remove programs that weren't necessary. Also ran Ccleaner to see if any other programs should be removed. Very satisfied so far.,"HP - 15.6"" Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Dark Ash Silver, Woven Texture",0,Jerry65
Good computer,4,0,Like it but keyboard very sensitive - wish it would have come with 1 program and that I didn't have to buy all of them - next time I will pay closer attention to what comes on my next laptop,"HP - 15.6"" Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Dark Ash Silver, Woven Texture",0,Mighymunchkinsmom
Impressive receiver,3,0,"The new Marantz receiver is better than my old Pioneer. It provides better separation between individual music elements. My only complaint is that the remote gives me less control over listening modes. There are basically only three or four instead of half-a-dozen or more. I haven't read the manual yet, however. Maybe I'm overlooking something.","HP - EliteBook 14"" Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Silver",6,SuperNetworker
Lightweight Powerhouse,5,6,"Staying with the trusted IT guy’s “spend at least $600 and buy a solid state drive” recommendation, this laptop did not let me down. Two months into ownership, I’ve performed video editing and basic user level tasks, never once seeing this machine flinch. It does not appear to have user serviceable RAM from every note I’ve read, and unlike these easy-access underbody panels my old ProBook had, this unit is screwed together tight as a drum. In comparison to my 4540 ProBook, it is a bit flimsier. My son habitually sets various toys, foods, or beverages on it and I worry about the screen’s integrity of he gets excited and starts slapping it, toy in hand. It has held up well so far. The screen casing is a plastic textured matte finish, as opposed to my previous plastic polished and brushed finish. As such, it has incurred several scratches already while the ProBook shows little damage. 
Performance wise, it boots from sleep to PIN screen to ready in under ten seconds. Every time. The multitasking is unparalleled. I was reluctant to purchase the smaller 256GB SSD when I was replacing a 500 GB 5400 SATA but keeping all my storage on my NAS makes up for that, especially with everything running gigabit connections. My purchase criteria included Win 10, gigabit Ethernet, high-capacity SSD, 15” screen, long battery life, non-touch screen, no-hesitation processing speed, a Core i5 7th Gen processor, and full keyboard with numpad. This unit met all those criteria, and the 12 months no interest plan made it very affordable. The only sour feelings I had about this purchase were based on the lack of BestBuyRewards points I failed to earn. The associate failed to mention that by financing the unit, I was ineligible for rewards points. And while this stipulation was likely written in fine print somewhere, I failed to read it so that’s on me.
Back to the laptop, it is, in summary, a lightweight powerhouse. For low resources task, it practically anticipates your requests because the applications open so fast. Compared to my work HP ZBOOK which leaves deep crease lines in your lap after a half hour of use, this 250 model weighs nearly nothing, and seems to perform (for my needs) identically.","HP - 15.6"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Dark Ash Silver, Woven Texture",0,WVElectEngr
Good computer for most people,4,0,For the price this was a bargain. I searched and compared dozens of computers and I think this met all my requirements. The next one that met the requirements was several hundred dollars more.,"HP - 15.6"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Dark Ash Silver, Woven Texture",0,luckyme
High Quality and Easy to Use,5,0,My new laptop is great. It just flies through all the functions that I use it for.,"HP - 15.6"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Dark Ash Silver, Woven Texture",0,Larryrx
Delivers,4,0,"Light weight, great keyboard. Windows 10 in itself is a challenge due to the constant updates which force some programs to no longer work or completely get deleted from your laptop. Again, this is more of a Windows 10 in general issue. Lap top works great, clean, light.","HP - 15.6"" Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Dark Ash Silver, Woven Texture",0,zette78
Beautiful Laptop,5,0,"This laptop is so beautiful, yet very powerful also.","ASUS - ZenBook 3 Deluxe UX490UA 14"" Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Royal blue",0,CouponMaster
Great features. Good balance of price & performanc,5,0,"This laptop fit my changing needs. I no longer need to have the latest and fastest as I no longer do video editing or Photoshop beyond Elements. So for small business home office work like spreadsheets, internet use and leisure time electronic puzzles and games the large screen was very useful. Also nice is still having a DVD burner, SD car slot, USB 3.0 in two forms and a 2.0, headphone/mic jack. The screen feature: ""night light"" which changes color temperature to help with insomnia was a nice bonus.
I'm also using this machine as a transition to Windows 10 after avoiding it like the plague for two years (I tried it when free and changed back to my trusty W7Pro). It was just too ""frilly"" and non-business-like. For this machine I found a free program called ""Classic Shell"" that works way too well to have been free - not complaining, mind you. It turns the start menu back into one you exactly recognize from Windows 7, including sub-menus, so you can actually find stuff again and make settings easily. And it has a button at the top of the classic W7 menu that with one press instantly reverts to the W10 start menu like you never changed anything. then back again with another click. Best of both worlds at the press of a button.
The 5400 RPM HD I knew would be too slow for me with an i5 gen 8 processor, so I ordered a $109 Samsung 860 EVO 500 Gig SSD on Best Buy at the same time and cloned the OEM HD with a bootable disk of Acronis (I already had for backups and cloning). The boot time went to 20 seconds and resume time to 4 to the log-in screen. If you're going to do that swap, do it first thing: Put the new SSD into the laptop first before ever starting it up (a very easy swap-out inside the access door on the bottom), stick the DVD with Acronis or similar in the optical drive and start the computer. Wait (pretty long) for the prom to boot and figure out there is no operating system (no need to check boot order with UEFI. It figures it out.) and goes looking in the optical drive. After Acronis boots (took about 2 whole minutes for me) and appears on the screen plug in your original drive via USB and a SATA to USB adapter (cheap- also on Best Buy. Don't plug it in before booting like Acronis tells you to do or it won't work. I found out the hard way). Order the SATA/USB cable adapter at the same time too if you don't have one. I already use one for my network storage on a 1T SSD (plugged into my AC cable modem/router so I have all my files from several computers in one place). Acronis will take care of partition resizing to go from the 1 T spinning drive to the 500G SSD (if you, like I, didn't need 1T of storage or needless expense). Last, after doing all the Windows updates on the new SSD you can load your old files from the back-up of your old laptop you made with Windows Back-UP. W10 has that nice feature in ""Back-Up and Restore (W7)"" and will find the back-up on disk, DVD, network storage, cloud storage, etc. if you tell it where to look. My back-ups are on an external SSD so it went very fast via the USB 3.0 plug using that same SATA/USB cable adapter.
The end result is a very fast, big screen, feature rich laptop with sufficient memory at 8G (expandable to 16) at a real bargain price! I'm probably going to get another one for my wife.","Acer - Aspire 5 17.3"" Laptop - Intel Core i5 - 8GB Memory - 1TB Hard Drive - Obsidian Black",0,David
Impressed so far.,5,0,"Best thing - this one doesn't get hot or even warm! I asked for and got a factory restore flash drive. Its pretty fast. nothing to complain about. If you need a good computer and good customer service, this one is a good choice.","Acer - Aspire 5 17.3"" Laptop - Intel Core i5 - 8GB Memory - 1TB Hard Drive - Obsidian Black",0,fred
Love my Acer Laptop,5,0,"Wouldn't buy any other laptop....love my Acer!!
My last computer was an Acer...great machine!!","Acer - Aspire 5 17.3"" Laptop - Intel Core i5 - 8GB Memory - 1TB Hard Drive - Obsidian Black",0,Beelady
Dell laptop performs,4,0,Good laptop. Hard to put extra memory by yourself. Have to remove entire back cover.,"Dell - Latitude 14"" Laptop - Intel Core i5 - 8GB Memory - 500GB Hard Drive - Black",0,Buybest
Very Slow,1,0,Not a fan of this computer. Very Very VERY VERY slow,"Dell - Latitude 14"" Laptop - Intel Core i5 - 8GB Memory - 500GB Hard Drive - Black",0,Purchase2109
Great for work and play,5,0,Beautiful laptop great design and functionality! No issues whatsoever,"Dell - Latitude 14"" Laptop - Intel Core i5 - 8GB Memory - 500GB Hard Drive - Black",0,Jjammy
Good work laptop,4,5,"Very happy with quality and speed and battery life,I don't care much for some of the HP bloat but can remove most of it.","HP - ProBook 14"" Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black",0,Meee
Nice laptop,5,0,"Nice midrange business laptop. Other than the battery recall, these are nice laptops.","HP - ProBook 14"" Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black",0,joepsycho4
Nice laptop,5,0,This is a really great laptop for casual business use.,"HP - ProBook 14"" Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black",0,joepsycho4
Good value,4,1,I prefer an i7 processor however this option of an i5 was budget friendly. Great for business use.,"Dell - Latitude 14"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black",0,ginaVT
Nice Chromebook,5,0,This does what it says. Was able to browse the internet quickly. Loaded some android apps as well that run great. Saving items is difficult as this doesn't work like a laptop and there really isn't any internal memory. Once I attached my google drive and set it up though it was easy from there. Just took some getting used to.,"Acer - R 13 2-in-1 13.3"" Touch-Screen Chromebook - MT8173 - 4GB Memory - 64GB eMMC Flash Memory - Sparkly Silver",0,Tristanmedic
